000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
238	Es el heredero del gato ricachón, nacido en una familia<br>adinerada. Aun así, tiene cocodrilos en los bolsillos, así<br>que rebusca en los bolsillos de sus enemigos cuando vence.	Es el padre del gato ricachón, que se hizo rico porque nunca<br>gastaba lo que ganaba en sus pequeños negocios. Vive a<br>base de rascar los bolsillos de sus enemigos cuando vence.	Abuelo del legendario gato ricachón. Invirtió<br>seis dólares en NekoSoft hace dos siglos.<br>Cada enemigo caído añade dinero a su cuenta.
239	Se formó en el campo de entrenamiento, pero solo le dieron<br>un cañón de patatas, así que no te esperes una repulsión<br>espectacular de sus ataques a tan larga distancia.	Un asesino sin piedad que jamás falla un tiro. Sigue usando<br>un cañón de patatas porque le gustan los retos.<br>Ataque a distancia que repele a enemigos no metálicos.	Tirador independiente, de 31 años, que compró<br>su equipo en una web de artículos de segunda mano.<br>Ataque a distancia que repele a enemigos no metálicos.
240	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Serán los pinchos?	No puede ser... Es que no puede ser...<br>Sobrevive a un golpe mortal y se fortalece<br>a medida que sufre daño. (Ataque de área).	Un dios antiguo que une el mundo de los vivos con el<br>de los muertos. Sobrevive a un golpe mortal y se fortalece<br>a medida que sufre daño. (Ataque de área).
241	Una jovencita un poco patosa que se ha disfrazado para la<br>Navidad. Dispara un potente rayo de hielo de corto alcance.<br>Resistente a ataques de álienes y ángeles. (Ataque de área).	Se enamora de cualquier esquiador que sea majo con ella.<br>¿Eso es enamorarse o dar patinazos sin parar?<br>Resistente a ataques de álienes y ángeles. (Ataque de área).	
242	Una jovencita pasional que se ha disfrazado para la<br>Navidad. Ataca a distancia con su árbol e inflige gran daño.<br>Eficaz contra álienes y ángeles. (Ataque de área).	Disfrazarse para la Navidad la ha hecho más dulce.<br>Pero el muérdago la sigue poniendo nerviosilla...<br>Eficaz contra álienes y ángeles. (Ataque de área).	
243	Una guardiana sagrada que se ha disfrazado para la<br>Navidad. Sus bendiciones divinas destruyen todo mal.<br>Puede paralizar a álienes y ángeles. (Ataque de área).	Esta jovencita nunca sonríe, pero el<br>espíritu navideño la hace más alegre.<br>Puede paralizar a álienes y ángeles. (Ataque de área).	
244	Un estupendo regalo de parte de Papá Noel.<br>¿Puedes averiguar qué contiene?<br>A veces paraliza a ángeles.	Un estupendo regalo de parte del ejército felino.<br>Pues... lo que lleva dentro se está moviendo...<br>A veces paraliza a ángeles.	Un estupendo regalo de parte de Papá Noel.<br>¿Puedes averiguar qué contiene?<br>A veces paraliza a ángeles.
245	Es un pequeñajo que aspira a convertirse<br>en un gato con excepcional poder de ataque y alcance.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato con piernas tan largas que le lleguen al suelo.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato que domine el arte piernil.<br>Puede repeler a álienes y romper barreras.
246	Es un pequeñajo que aspira a convertirse<br>en un gato que piense y actúe rápido y utilice la cabeza.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato que va de cabeza a rocanrolear.<br>	Es un pequeñajo que aspira a convertirse<br>en un gato que limpie la casa con la melena.<br>Inmune a oleadas.
247	Es un pequeñajo que aspira a convertirse<br>en un gato con la vida de un estornudo.<br>Poder de ataque excepcional. (Ataque de área).	Es un pequeñajo que aspira a convertirse<br>en un gato que consiga vencer la batalla contra la gravedad.<br>Eficaz contra varios tipos de enemigos. (Ataque de área).	Es un pequeñajo que aspira a convertirse<br>en un gato que destruya una ciudad con sus rayos de luz.<br>Eficaz contra zombis. (Ataque de área).
248	Un cameo de GirlsMons.<br>Lo atropelló un coche, pero sigue dándolo todo.<br>Puede ralentizar a zombis.	Un cameo de GirlsMons.<br>Un gato fantasma obsesionado con el reino de los mortales.<br>Puede ralentizar a zombis.	Una gato que ha cruzado una puerta interdimensional<br>de la que no se puede regresar nunca.<br>Tiene una pequeña probabilidad de ralentizar a zombis.
249			
250			
251			
252			
253			
254			
255			
256			
257	La mayor autoridad entre los dioses del Olimpo.<br>Lo destruye todo con su lanza divina.<br>Eficaz contra ángeles. (Ataque de área).	Fortalecido por la furia divina, su poder crece más<br>y más. Su hoja celestial reduce toda existencia a cenizas.<br>Eficaz contra ángeles. (Ataque de área).	Heredero de la bendición del maná, posee el poder del fruto<br>de la creación para generar otro paraíso. Débil contra<br>la ira de Hera y eficaz contra ángeles. (Ataque de área).
258	Dios de la muerte que guía a los mortales al inframundo.<br>Su infrabastón purifica las almas del pecado.<br>Inmune a oleadas. (Ataque de área).	Su dominio sobre el inframundo es absoluto.<br>Un toque de su bastón sagrado y la vida cesa.<br>Inmune a oleadas. (Ataque de área).	Dios de la muerte que usa el fruto de la creación para cortar<br>el vínculo de las almas de los muertos con el plano mortal.<br>Inmune a oleadas. (Ataque de área).
259	Diosa de la belleza, el orgullo, el amor y... otras cosas.<br>Su arco dorado le permite atacar desde lejos.<br>Superfuerte contra álienes. (Ataque a distancia).	Su arco brillante otorga la vida eterna... o la quita de<br>un plumazo. Cuidado con lo que dices cuando estés con ella.<br>Superfuerte contra álienes. (Ataque a distancia).	Diosa del amor, la belleza y el orgullo. Está bendecida con<br>el fruto de la creación; la vida y la muerte la obedecen.<br>Superfuerte contra álienes. (Ataque a distancia).
260	Un jefe muy enrollado que patrulla la ofi con estilo<br>en busca de becarios a los que castigar. Eficaz<br>contra enemigos rojos, negros y ángeles. (Ataque de área).	Una unidad felina aérea controlada a distancia (UFACAD).<br>Se estrella a menudo, pero estamos trabajando en ello. Eficaz<br>contra enemigos rojos, negros y ángeles. (Ataque de área).	Un enviado del futuro que llega para ayudar a<br>los gatos. Suele colarse en el cine de gratis. Eficaz<br>contra enemigos rojos, negros y ángeles. (Ataque de área).
261	Destruye todo mal con la hoja mística de su clan.<br>La senda del ninja no conoce la palabra «misericordia».<br>Ataca a distancia e inflige daño crítico. (Ataque de área).	El poder sobrenatural que encierra en su interior amenaza<br>con consumirlo. ¿Perderá su alma para vencer al mal? Ataca<br>a distancia. Repele y ralentiza a álienes. (Ataque de área).	Mejoró cibernéticamente el poder de su demonio con un<br>motor infernal experimental que sustituye su corazón. Ataca<br>a distancia. Repele y ralentiza a zombis. (Ataque de área).
262			
263			
264			
265			
266			
267	Tenía tantas ganas de saltarse las clases que se convirtió<br>en un ciclón y causó una alerta meteorológica nacional.<br>Ataque de área superrápido que inflige daño crítico.	Un efecto secundario de El Niño. Es terriblemente curioso<br>y absorbe cualquier cosa a la que intenta echar un ojo.<br>Ataque de área superrápido que inflige daño crítico.	Se vio atrapado en una gran tormenta que asoló la ciudad.<br>Ahora está acostumbrado, así que viene preparado para todo.<br>Ataque de área superrápido que inflige daño crítico.
268	El Profeoso dijo que las chicas son más monas cuando llevan<br>un gatito en brazos, así que ahora su estrategia ha cambiado.<br>Lo malo es que se le ha roto la bazuca... (A distancia).	Mina es más popular desde que se unió a los gatos.<br>Aún no está al nivel de la Valquiria, pero todo se andará.<br>Su bazuca sigue en el taller... (A distancia).	Una asesina que defiende a las dulces criaturillas de los<br>bosques. No toques a sus bebés o será lo último que hagas.<br>Puede desgastar a reliquias. (Ataque de área a distancia).
269	Puede ser un llorica, pero es que todavía es joven.<br>No se da cuenta del poder que guarda en su interior.<br>Eficaz contra enemigos con rasgos. (Ataque de área).	Solo se aparece ante quienes buscan el verdadero poder.<br>Eficaz contra enemigos con rasgos. Inmune a oleadas.<br>Puede infligir daño crítico. (Ataque de área).	
270	Possessed by a dark soul, she feverishly hunts<br>down the mystery behind the annihiliation.<br>Massive Area damage against Red and Black.	Desperate to solve the mystery, she has given<br>herself totally over to darkness and Catness.<br>Massive Area damage against Red and Black.	Darkness has given Yuki cute Cat ears, a tail,<br>and the power to call forth stronger corrupt souls.<br>Massive Area damage against Red and Black.
271	El poder y la belleza del sol personificados.<br>Vence a los enemigos con su espejo sagrado.<br>Superfuerte contra enemigos con rasgos. (Ataque de área).	Todos se rinden ante el resplandor de esta diosa.<br>¡Que las almas oscuras se arrodillen ante su espejo divino!<br>Superfuerte contra enemigos con rasgos. (Ataque de área).	Diosa piadosa que usa el poder del fruto<br>de la creación para bendecir la tierra con la luz del sol.<br>Superfuerte contra enemigos con rasgos. (Ataque de área).
272	El señor del esplendor y los estudios, guardián<br>de los secretos sagrados que protegen contra el infortunio.<br>Se fortalece tras sufrir daño. (Ataque de área a distancia).	Quienes lo sigan tendrán prosperidad y sabiduría.<br>Vence a sus enemigos con un poder infinito.<br>Se fortalece tras sufrir daño. (Ataque de área a distancia).	Dios de la prosperidad, que usa el fruto de la creación para<br>bendecir a la humanidad con riqueza, sabiduría y fortuna.<br>Su ataque de área a distancia se fortalece tras sufrir daño.
273	Va dando saltitos por el campo de fútbol y sus<br>animadas canciones infunden determinación en los gatos.<br>Siempre inflige daño crítico.	Tuvo que volver al mundo real, pero su entusiasmo no decae.<br>Su veloz servicio infunde determinación en los gatos.<br>Siempre inflige daño crítico.	Ahorró suficiente para comprar su propio restaurante.<br>Sus fideos son los mejores y su servicio, el más impecable.<br>Siempre inflige daño crítico.
274	Pasa los días de verano sentada en el porche de su casa<br>maldiciendo a las parejas que toman el sol en la playa.<br>Superfuerte contra enemigos rojos. (Ataque de área).	Se coló en el inframundo a la corta edad de dos años, pero<br>los días de verano casi la hacen sentirse humana de nuevo.<br>Superfuerte contra enemigos rojos. (Ataque de área).	
275	Va vestida de conejita para pasar desapercibida y se dedica<br>a rastrear a villanos en las playas mediterráneas. Siempre<br>ralentiza a enemigos negros y ángeles. (Ataque de área).	Tras identificar a su objetivo, se cambia de traje<br>para pasar más desapercibida y se lanza al ataque.<br>Eficaz contra enemigos negros y ángeles. (Ataque de área).	
276	Este año seguro que se lleva la medalla de oro en el torneo<br>de natación. Eso sí, olvídate de que se quite los guantes.<br>Siempre inflige daño crítico.	La estrella del pop favorita de todo el mundo está lista para<br>vencer su miedo a mostrarse en bañador. ¡Tú puedes, Neneko!<br>Siempre inflige daño crítico.	Brilla intensamente bajo el sol del verano<br>y trae recuerdos de los divertidos días estivales.<br>Siempre inflige daño crítico.
277	Edible fungus aiming to rule the<br>table as the staple food. Cheap to<br>produce, so send 'em en masse!	Cutting-edge science allowed<br>him to grow a Cat? Cheap to<br>produce, so send 'em en masse!	
278	Thought about adding a harvester,<br>but decided a tank was cooler.<br>Great for long-distance combat.	A rowdy Cat took over the<br>controls while no one was looking.<br>Great for long-distance combat.	
279	Loves long baths in miso soup,<br>always barely escaping when served.<br>Master of powerful single strikes.	A new brand of Cat Food caused<br>some strange new growth patterns.<br>Master of powerful single strikes.	
280	A mobile fortress able to defend<br>against attacks from any direction.<br>Tough unit able to withstand siege.	The fortress has been redesigned<br>for extra appeal to the Internet.<br>Tough unit able to withstand siege.	
281			
282	Sean bailarines o parte del público, lo que está claro es que<br>los gatos son gatos, así que bailemos para celebrarlo.<br>Es una unidad barata para que puedas montar buenos saraos.	¡A bailar, a bailar! Por supuesto que los gatos pueden<br>apoyar la tradición de bailar para atraer la buena pesca.<br>Es una unidad barata para que se llenen las redes.	Apuesto bailarín que hechiza a las señoritas<br>con un juego de pies estelar hasta el amanecer.<br>Matamastodontes, y además es una unidad superbarata.
283	Es la chica anuncio de un famoso restaurante de dim sum.<br>Siempre lleva su tradicional martillo escarlata. Es superfuerte<br>y resistente contra enemigos rojos. (Ataque de área).	Cuando se rompieron las cadenas místicas, se desató<br>el poder del martillo del panda rojo. Es superfuerte<br>y resistente contra enemigos rojos. (Ataque de área).	Aniquila a sus rivales en la arena del inframundo<br>con el poder demoledor del martillo del maestro panda.<br>Resistente contra enemigos rojos. (Ataque de área).
284	Es una locomotora que viaja a la velocidad de la luz.<br>Hoy se ha vendido el 120% de los asientos.<br>Consigue dinero extra al vencer enemigos.	Una locomotora de 222 asientos que viaja a la velocidad<br>de la luz. ¡La bendición de todo gato de negocios!<br>Consigue dinero extra al vencer enemigos.	Puede transportar hasta a 2222 pasajeros en un viaje<br>alrededor del mundo a la velocidad de la luz.<br>Consigue dinero extra al vencer enemigos.
