000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
482	小雪的弟弟。以少年的姿態漂流向天上世界<br>迎向過去罪惡，出發向前邁進之旅(範圍攻擊)<br>有時候能使天使與異星戰士動作變慢攻擊力下降	在漂流地獲得了貓咪的幫助與協力下<br>取得了呼喊新紅色魂體能力的蒼真(範圍攻擊)<br>有時候能使天使與異星戰士動作變慢攻擊力下降	
483	來自消滅都市的戰士！旅人佳乃與少年蒼真<br>迎向自己的罪孽，目標就是"消滅都市"<br>對上異星戰士很耐打(範圍攻擊)	載著蒼真與擱淺在岸邊的貓咪<br>進行著目標為消滅都市的旅程<br>對上異星戰士很耐打(範圍攻擊)	
484	闇黑染滿身心的瓦爾基麗貓的妹妹<br>背負天界所有差事的絕密女特工<br>必定能發射波動，波動傷害無效。(範圍攻擊)	染了時下流行的霧感髮色加上雙丸子頭<br>與洋風旗袍出任務，顏值持續增高中。<br>必定能發射波動，波動傷害無效。(範圍攻擊)	
485			
486			
487	從福音戰士來參戰！<br>反NERV組織WILLE改造並且運用的機體<br>對上飄浮敵人的3種妨害效果有時候會發揮(遠距範圍)	從福音戰士來參戰！<br>能使用多種槍械並擅長援護射撃<br>對上飄浮敵人的3種妨害效果有時候會發揮(遠距範圍)	
488	看了WILLE的巨大戰艦後模仿作出來的貓咪們<br>對外觀表現講究，但裡面幾乎沒摸到<br>給予天使敵人和不死生物超大傷害(範圍攻擊)	以消滅NERV為目的，乘載貓咪在天空飛舞的巨大戰艦<br>備有心情浮躁時會亂擊的貓咪的兇惡兵器<br>給予天使敵人和不死生物超大傷害(範圍攻擊)	
489	從福音戰士來參戰！<br>個性豪爽活潑，是真嗣的監護人<br>有時候能破壞護盾，使異星戰士的動作變慢	從福音戰士來參戰！<br>反NERV組織WILLE領導者的冷酷女性<br>有時候能破壞護盾，使異星戰士的動作變慢	
490	從福音戰士來參戰！<br>所屬NERV技術開發部，冷靜的女性研究員<br>有時候會讓異星戰士的攻擊力下降(範圍攻擊)	從福音戰士來參戰！<br>做為反NERV組織WILLE的幹部，對真嗣冷静而透徹<br>有時候會讓異星戰士的攻擊力下降(範圍攻擊)	
491	從福音戰士來參戰！<br>對於真嗣的記憶好像很模糊……？<br>對上黑敵很耐打，有時使其攻擊力下降(範圍攻擊)	從福音戰士來參戰！<br>開始思考想知道自己是什麼<br>對上黑敵很耐打，有時使其攻擊力下降(範圍攻擊)	
492	從高雄捷運來參戰！<br>搭乘高雄捷運，帶大家看見高雄的美好！<br>有時候會打飛紅色敵人	從高雄捷運來參戰！<br>加入新成員，一起帶大家發現高雄新魅力！<br>有時候會打飛紅色與黑色敵人	從高雄捷運來參戰！<br>3位成員共同亮相，跟大家一起高雄玩翻天！<br>有時候會打飛紅色黑色與天使敵人
493	以神力創造世界的始祖女神<br>始祖神器「萬物創樹」可將所有敵人化為虚無<br>給予有屬性的敵人極度傷害(遠距範圍攻擊)	憑藉神力開始釋放真實力量的始祖女神<br>天地創造神器「萬物神創樹」將敵人定罪！<br>給予有屬性的敵人極度傷害(遠距範圍攻擊)	
494	任命一日艦長的夢幻美女，隨時帶著<br>貓咪往要沉的船方向掌舵去(範圍攻擊)<br>有時候讓紅色黑色鋼鐵敵人暫時動作停止	受組員支持而延續任期的一日艦長，與貓咪一起<br>欣賞夕陽落入地平線是最棒的享受(範圍攻擊)<br>有時候讓紅色黑色鋼鐵敵人暫時動作停止	
495	喊著Olé！華麗舞動的勇敢鬥牛士貓咪<br>揮動紅色披風敏捷的躲避敵人攻擊<br>有時候可讓紅色敵人的攻擊無效化	喊著Olé！華麗舞動的動感舞姬貓咪<br>敵人的攻擊跟紳士的誘惑都敏捷的躲避<br>有時候可讓紅色敵人的攻擊無效化	
496	承受傳說中武器「貓咪薙刀」的詛咒<br>幻化為不屈於強敵之身的戰國公主。必定使不死生物<br>與黑色敵人的動作變慢，有時候施放渾身一擊	與傳說武器「貓咪薙刀」的詛咒調和<br>掃討一切阻礙的戰國美姬。必定使不死生物<br>與黑色敵人的動作變慢，有時候施放渾身一擊	使武器詛咒昇華，將動亂天下帶來太平<br>的威嚴武神。必定使不死生物與黑色敵人<br>的動作變慢，有時候施放渾身一擊
497	為瀕臨絕種前做好準備<br>將下巴進化了的貓咪<br>	具備飽經鍛鍊的<br>肌肉與下巴的貓咪<br>	
498	從戽斗星球來參戰！<br>原先是百獸之王，<br>但加了下巴後很介意有失風格	從戽斗星球來參戰！<br>「有下巴就是大爺！」<br>這句話是最近的口頭禪	
499	從戽斗星球來參戰！<br>如下巴添翼！<br>	從戽斗星球來參戰！<br>煩惱下巴沒有紋路，<br>每週找貓咪商量3次	
500	從戽斗星球來參戰！<br>雖然有下巴後骨頭木頭岩石都可以輕易進食，<br>但唯獨竹葉還是不能離手！	從戽斗星球來參戰！<br>雖然有下巴後骨頭木頭岩石都可以輕易進食，<br>但唯獨竹子還是不能離手！	
501	Switch版「兩人一起！貓咪大戰爭」的紀念角色<br>最喜歡玩遊戲，在哪都一起的超級好兄弟<br>對上沒有屬性的敵人很耐打(範圍攻擊)	Switch版「兩人一起！貓咪大戰爭」的紀念角色<br>就算變成大人也一起玩遊戲的和睦家族<br>對上沒有屬性的敵人很耐打(範圍攻擊)	
502	任何事情都想用錢解決的資產階級令媛<br>用錢不能解決的就用實力。有時候可使<br>沒有屬性敵人的攻擊無效化，會發射波動。	不懂人情事故的資產階級令媛。不會看場合的<br>發言會讓周圍困擾，但機器執事會立刻給予協助<br>有時候可使沒有屬性敵人的攻擊無效化，會發射波動	過着燦爛生活的資產階級令媛<br>無法忘記那個百姓愛去的牛丼店味道。<br>有時候可使沒有屬性敵人的攻擊無效化，會發射波動
503			
504	喜歡照顧與教導新手貓咪"小偷大小事"的大叔<br>嘴巴惡毒但墨鏡後隱藏著一雙深邃的眼睛<br>打倒敵人的時候可以得到很多金錢	自稱是掌管過傳說中小偷幫一團的頭頭<br>在加碼多多脫隊後加上膝蓋舊傷就此引退<br>打倒敵人的時候可以得到很多金錢	
505	有可貫穿天空的巨大矛，在地面大踏行走的傳說角龍族<br>以壓倒性的破壞能力攻擊敵人（範圍攻擊）<br>有時候能打飛無屬性敵人並使其動作變慢	將閃耀光芒變成自己力量的傳說角龍族<br>以壓倒性的破壞能力攻擊敵人（範圍攻擊）<br>有時候能打飛無屬性敵人並使其動作變慢	在龍角山沐浴毀滅的光芒後覺醒真正力量的角龍皇帝<br>用激烈咆嘯就足以破滅全數的生命(範圍攻擊)<br>必定能打飛無屬性敵人並使其動作變慢
506	來自梅露可物語的戰士！<br>放棄了曾是海盜的過去，成爲某海兵部下的青年<br>必定能死前存活，有時候施放渾身一擊(範圍攻擊)	來自梅露可物語的戰士！<br>立志要為了一個人付出自己力量的青年<br>必定能死前存活，有時候施放渾身一擊(範圍攻擊)	
507	一隻穿著神秘斗篷飛天假裝英雄的普通貓咪<br>每天朝夕忙著收銀台打工，夢想著獨立生活<br>能使無屬性敵人攻擊力下降，並能抵消波動	因吃太多薯片導致變強壯的飛天貓咪<br>未來夢想當歌手，每天固定在公園練唱<br>能使無屬性敵人攻擊力下降，並能抵消波動	
508	為了與強者戰鬥每天苦行修練<br>但因個性懶散還沒遇見所以沒得挑戰<br>有時候會讓黑色敵人動作停止	為了去見"比我更強的傢伙"而持續旅行中<br>未料都見到"比我更強的傢伙"所以目前0勝22連敗<br>有時候會讓黑色敵人動作停止	
509	有著可愛雙丸子頭特徵的貓咪<br>對"旋轉鶴腳腿"有樣學樣特訓中<br>偶爾會使出會心一擊	崇拜ICPO美女搜查官戰士的貓咪<br>華麗的回旋踢讓對手跟自己都沉醉了<br>偶爾會使出會心一擊	
510	從快打旋風V AE來參戰！<br>尋求與強者的死鬥持續奮戰的格鬥家<br>給予無屬性敵人極度傷害(範圍攻擊)	從快打旋風V AE來參戰！<br>被"殺意的波動"所纏繞「拳之極者」<br>給予無屬性敵人極度傷害(範圍攻擊)	
511	從快打旋風V AE來參戰！<br>追求真正的格鬥家之路的主人公<br>有時候施放渾身一擊(範圍攻擊)	從快打旋風V AE來參戰！<br>為了尋找比自己更強的傢伙正在世界旅行中格鬥家<br>有時候施放渾身一擊(範圍攻擊)	
512	從快打旋風V AE來參戰！<br>為了尋找下落不明的父親成為了ICPO搜查官<br>有時候會打飛紅色、黑色敵人與異星戰士	從快打旋風V AE來參戰！<br>華麗使出"百烈腳"即壓倒全敵<br>有時候會打飛紅色、黑色敵人與異星戰士	
513	從快打旋風V AE來參戰！<br>為了祖國和平而戰的熱血硬漢戰士<br>對上飄浮敵人很耐打，能使攻擊力下降與動作變慢	從快打旋風V AE來參戰！<br>使出絕招"腳刀"斬斷憎惡<br>對上飄浮敵人很耐打，能使攻擊力下降與動作變慢	
514	從快打旋風V AE來參戰！<br>又名"紅色旋風"的巨漢摔角手<br>有時候可使不死生物的攻擊無效化(全方位攻擊)	從快打旋風V AE來參戰！<br>使出絕招"旋風十字拳"徹底擊敵<br>有時候可使不死生物的攻擊無效化(全方位攻擊)	
515	從快打旋風V AE來參戰！<br>亞馬遜大自然中成長的善良戰士<br>能給予異星戰士超大傷害(全方位攻擊)	從快打旋風V AE來參戰！<br>以野性十足的"翻滾攻擊"粉碎敵人<br>能給予異星戰士超大傷害(全方位攻擊)	
516	從快打旋風V AE來參戰！<br>因瑜珈的奇蹟變幻自如的印度修行僧<br>必定讓無屬性敵人攻擊力下降(範圍攻擊)	從快打旋風V AE來參戰！<br>借火神阿格尼的力量自在操縱幻之炎<br>必定讓無屬性敵人攻擊力下降(範圍攻擊)	
517	從快打旋風V AE來參戰！<br>與隆為師兄弟、親友、也是最大勁敵<br>善於攻擊紅,飄浮,天使敵,也可打飛(全方位攻擊)	從快打旋風V AE來參戰！<br>隆的最大勁敵，可擊出必殺技"昇龍拳"<br>善於攻擊紅,飄浮,天使敵,也可打飛(全方位攻擊)	
518	因"殺意的波動"清醒的長頸鹿貓<br>那個不吉利的樣子讓人不寒而慄<br>善於攻擊無屬性敵人,使波動無效(遠距範圍)	解放"殺意的波動"銳變全新面貌的貓咪<br>與若者的死鬥全力探出前進衝刺<br>善於攻擊無屬性敵人,使波動無效(遠距範圍)	
519	為滅絕光之住人而從黑暗現身的惡角化身<br>有時候施放壓倒性帶負力的渾身一擊(範圍攻擊)<br>死前能夠存活一次，體力減少攻擊力就大幅上升	受正義之光驅使展現最終形態的惡之幻影<br>只有一次從重生的死亡之淵發起猛攻<br>時不時給予冒險者們充滿怨念的ㄧ擊	
520	一身匯集了七種功德利益的福神<br>祂會"帶給所有人民功德利益..."這樣想你就錯了<br>有時候給予有屬性敵人各種的妨害效果(遠距攻擊)	貪圖利益最終走歪了的"前，福神"<br>騎著偷來的機車在街上爆走爆音灑福<br>有時候給予有屬性敵人各種的妨害效果(遠距攻擊)	
521	對個性十足的髮型十分滿意的貓咪<br>頭髮重量：重量級<br>會讓古代種瞬間動作停止(遠距範圍攻擊)	頭髮梳成雙麻尾展現"玩真的模式"的姑娘<br>魔力加蝴蝶結重量：超級重量級<br>會讓古代種瞬間動作停止(遠距範圍攻擊)	
522	給予斧頭掉進湖中者機會的貓咪<br>對於說謊敵人毫不客氣飛丟斧頭<br>(遠距範圍攻擊)	替代出場參加某大賽僥倖優勝的貓咪們<br>沒意義的獎牌則是送給觀眾們<br>(遠距範圍攻擊)	
523	月付NT$199ㄧ週上課2次武道教室的學生<br>目標奪天下的社會人2年級生的格鬥家貓咪<br>對上不死生物很耐打	靠自作武器當上了師父的武道家貓咪<br>雖然不曾輸給門下生但在公開比賽總是犯規輸<br>對上不死生物很耐打	
524			
525	任職於"闊刃斧株式會社"的精英職員阿金<br>今天也由部下小熊扛起前往山中執勤(遠距範圍攻擊)<br>有時候會使天使敵人的動作變慢、施放渾身一擊	從"有足印山岳基地"出動的"猛獸們"<br>用火箭砲教訓逞惡的壞人們(遠距範圍攻擊)<br>有時候會使天使敵人的動作變慢、施放渾身一擊	
526	聖誕節限定版天真無邪的雙胞胎<br>反覆出手的肉球花圈攻擊連寒風都可炸飛！<br>給予飄浮敵人與天使敵人超大傷害(範圍攻擊)	以"乖寶寶"形象迎擊聖誕的感情好雙胞胎<br>其實已是聖誕夜燃燒的鬥志擋不住睡意的年紀了<br>給予飄浮敵人與天使敵人超大傷害(範圍攻擊)	
527	睡醒後發現變成水晶泥史萊姆惹・・・<br>只徘徊在尋找新手勇者們的街道週圍<br>必定能發射波動	清明節日時一齊現身的角色<br>遠看很療癒，靠近就不客氣的發出一擊！<br>可打擊波動	
528	在酷寒地帶中學會了流行舞蹈的貓咪<br>學舞過程中練出超強腳技的破壞力很嚇人<br>給予古代種超大傷害	狂喝自製伏特加的小小上級兵隊貓<br>如果醉起來就會毫不掩飾地狂舞<br>給予古代種超大傷害	
529	承受千詛咒所腐蝕，孤苦伶仃的少女<br>殊不知自己體內有著未釋出的力量(遠距範圍)<br>偶爾打飛有屬性敵人，必定能發射烈波	感受了對待人們親切後而被喜愛的溫暖<br>祈禱詛咒而昇華，轉為救濟人們的聖女(遠距範圍)<br>有時候打飛有屬性敵人，必定能發射烈波	
530			
531	八點檔「森林中的熊熊老師」主角<br>遇到比自己更醒目的東西就會一拳揍下去<br>給予無屬性敵人極度傷害(範圍攻擊)	八點檔「森林中的熊熊老師」黑子<br>遇到站的比自己更前面的就會暗殺他<br>給予黑色敵人極度傷害(範圍攻擊)	
532	擅自宣佈「敗者成爲勝者家臣」，結果<br>至今仍造成族中規則很麻煩的古代戰士<br>有時候會讓鋼鐵以外的敵人攻擊力下降(範圍攻擊)	脫掉面具展現真實面貌的古代戰士<br>得到了族人悲願的貓咪般怪獸<br>有時候會讓鋼鐵以外的敵人攻擊力下降(範圍攻擊)	
533	下課路上順便完成任務的天才狙擊手<br>只要出現在戰場上，就會一槍制伏全場！<br>只能攻擊異星戰士和紅色敵人(遠距範圍)	幫忙家事跟暗殺任務都很完美的天才狙擊手<br>如果發現暗夜有糾紛，就會一槍制伏全場！<br>只能攻擊異星戰士和不死生物(遠距範圍)	
534	掌管亡者冥府的偉大冥界神<br>以魂之神器「審判鐮刀」斷罪惡人！<br>使毒擊與傳送能力無效(範圍攻擊)	把罪孽深重性命推向黑暗的冥界神<br>以處刑神器「審判神鐮」淨化所有業障！<br>使毒擊與傳送能力無效(範圍攻擊)	
535	來自虛擬世界的人氣歌手！<br>俏皮又可愛的電子歌姬(範圍攻擊)<br>善於攻擊紅,飄浮,天使敵,使瞬間攻擊力下降	來自虛擬世界的人氣歌手！<br>"清楚而可愛"歌聲是魅力的電子歌姬(範圍攻擊)<br>善於攻擊紅,飄浮,天使敵,使瞬間攻擊力下降	
536	來自虛擬世界的人氣歌手！<br>宣告春天到來的特別歌姬(遠距範圍攻擊)<br>使異星戰士瞬間動作停止，有時候能破壞護盾	來自虛擬世界的人氣歌手！<br>帶來櫻花舞動春天歌曲的特別歌姬(遠距範圍攻擊)<br>使異星戰士瞬間動作停止，有時候能破壞護盾	
537	來自虛擬世界的人氣歌手！<br>有活力&魅力的雙子主唱(遠距範圍)<br>有時候打飛黑色和鋼鐵敵人並使動作變慢	來自虛擬世界的人氣歌手！<br>有著青春洋溢歌聲的清新雙子主唱(遠距範圍)<br>有時候打飛黑色和鋼鐵敵人並使動作變慢	
538	很憧憬俏皮又可愛偶像的貓咪<br>試唱了熱門歌曲結果歌聲震碎房間玻璃<br>有時候可讓飄浮敵人的攻擊無效化	自覺朝世界歌姬又邁向一大步的貓咪<br>下次的演唱會已經取得超前排座位票<br>有時候可讓飄浮敵人的攻擊無效化	
539	入坑了熱門運動的新手貓咪<br>統率不會輸給汪隊伍的喵隊伍<br>善於攻擊黑色敵人，使波動無效(遠距範圍)	開始嘗試更強運動的貓咪<br>著裝好堅固護具然後繼續溫板凳<br>善於攻擊黑色敵人，使波動無效(遠距範圍)	
540			
541			
542			
543	無落腳處可投靠的另一位凱斯莉<br>日漸增大的怨恨化為詛咒寄託身體<br>必定能詛咒敵人、發射烈波(遠距範圍攻擊)	由靈魂被詛咒的災難化身的災難魔女<br>給予求救者安寧的終焉<br>必定能詛咒敵人、發射烈波(遠距範圍攻擊)	
544	一個以興趣散步從異國走來的好奇心旺盛少女<br>揹負有以護刀「穗香」打倒妖魔的使命！<br>對上鋼鐵敵超耐打，有時候發出會心一擊(遠距範圍)	一個沉淪在異世界的冷酷少女<br>帶著神刀「穗香」共同經歷了無數次的戰爭！<br>對上鋼鐵敵超耐打，有時候發出會心一擊(遠距範圍)	
545	難以捉摸的似貓又不似貓的...?<br>無法存在於風強大的地方<br>給予天使敵人超大傷害(遠距範圍攻擊)	模模糊糊的似貓又不似貓的...?<br>覺得不對勁時就模糊帶過<br>給予天使敵人超大傷害(遠距範圍攻擊)	
546	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>必定能詛咒鋼鐵以外的敵人(範圍攻擊)	
547			
548			
549			
550			
551			
552			
553	拋棄家族事務的交接成為麵包師傅的貓咪<br>看起來像是咬過一口的可頌是店內人氣商品<br>必定可以詛咒天使和不死敵和異星戰士(遠距攻擊)	厭倦了都市打工而回到老家繼承家業的貓咪<br>被怪獸族長老授予了最高級的迴力鏢而感激<br>必定可以詛咒天使和不死敵和異星戰士(遠距攻擊)	厭倦了都市打工而回到老家繼承家業的貓咪<br>被怪獸族長老授予了最高擊的迴力鏢而感激<br>必定可以詛咒天使和不死敵和異星戰士(遠距攻擊)
554	被隨便傳達了"祖先說追隨有力量的人才是上策!"<br>家訓後加入了貓咪軍團。<br>必定能使古代種動作變慢，並發射烈波(範圍攻擊)	讓鸚鵡說出"他是曾經阻止魔王並拯救世界的<br>傳說中的武道家"的老爺爺。假面是跟孫子要來的。<br>必定能使古代種動作變慢，並發射烈波(範圍攻擊)	
555			
556			
557			
558	為了慶祝而於關卡中登場的稀有轉蛋貓<br>轉的次數仔細看～有比平常多唷！<br>偶爾會打飛敵人	以比平常更有福相的面貌登場！<br>轉的次數仔細看～沒必要轉的時候也在轉！<br>偶爾會打飛敵人	
559	為了要找可以打入地獄的人而假扮警官到來<br>的閻魔女王。被詢問時若是說謊就會被燒滅<br>有時讓敵人攻擊力下降，並能抵消波動(全方位攻擊)	為找尋審判惡者而混入軍人中的閻魔女王。<br>將戰場上的犯罪者全數送入地獄！<br>有時讓敵人攻擊力下降，並能抵消波動(全方位攻擊)	
560	來自虛擬世界的人氣歌手！<br>略帶神秘氣質的雙語歌手<br>可以給予飄浮與黑色敵人超大傷害(遠距範圍)	來自虛擬世界的人氣歌手！<br>有著冷酷＆低沉嗓音的雙語歌手<br>可以給予飄浮與黑色敵人超大傷害(遠距範圍)	
561	來自虛擬世界的人氣歌手！<br>廣範歌種皆可完美詮釋的實力派唱將<br>可以給予紅色敵人超大傷害(遠距範圍攻擊)	來自虛擬世界的人氣歌手！<br>歌聲躍動感十足有特色的實力派唱將<br>可以給予紅色敵人超大傷害(遠距範圍攻擊)	
562	很憧憬有著神秘氣質虛擬歌手的貓咪<br>試著自己跳舞看看結果超詭異從此停止<br>有時候可使異星戰士的攻擊無效化	為了接近憧憬的神秘氣質虛擬歌手而出海<br>捕鮪魚的貓咪。一年的漁船生活中還學會了方言<br>有時候可使異星戰士的攻擊無效化	
563	從臨海學校來到大海的天才狙擊手<br>因無法掌控手感結果使朋友全員爆頭<br>只能攻擊飄浮和黑色敵人(遠距範圍)	在夜晚海邊除惡的天才狙擊手<br>看到會汙染沙灘的沒規矩煙火就不囉嗦馬上熄滅<br>只能攻擊飄浮和天使敵人(遠距範圍)	
564	是貓還是辣妹沒人知道<br>完全是個謎樣般的角色<br>	是貓還是辣妹沒人知道<br>完全是個謎樣般的角色<br>必定能發射烈波(範圍攻擊)	
565	炎炎盛夏中曬的黝黑的貓咪<br>因崇拜放浪貓弟而加入貓咪大戰爭<br>有時候可使無屬性敵人的攻擊無效化	進化前是受炎炎盛夏中曬的黝黑的貓咪<br>鍛練有素的嫩白手臂是最迷人的重點<br>有時候可使無屬性敵人的攻擊無效化	
566	以契合度絕佳的英姿守護海洋和平的好兄弟貓咪<br>超強視力2.0的長男絕不會錯過任何的呼救信號！<br>有時候可使無屬性敵人的動作變慢(遠距範圍)	契合度絕佳到相互串在一起的好兄弟貓咪<br>位置在最上面好像也不見得一定是長男<br>有時候可使無屬性敵人的動作變慢(遠距範圍)	
