000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
261	Sigilla il male con la lama mistica del suo clan.<br>La via del ninja non conosce pietà.<br>A distanza, danni ad area, danni critici.	Il potere ultratterreno che ha nel petto minaccia<br>di consumarlo. Per distruggere il male perderà l'anima?<br>Attacchi ad area da lontano, respinge e rallenta alieni.	Ha ciber-potenziato il suo potere demoniaco con un<br>motore Infernale sperimentale al posto del cuore.<br>Attacchi ad area da lontano, respinge e rallenta zombi.
262			
263			
264			
265			
266			
267	Voleva marinare la scuola a tal punto da<br>diventare un tifone da allerta meteo nazionale.<br>Attacchi ad area super veloci con danni critici.	Effetto collaterale di El Niño. Pericolosamente curioso;<br>risucchia qualunque cosa provi a sbirciare.<br>Attacchi ad area super veloci con danni critici.	Travolto da una tempesta insieme al resto della città.<br>Ormai ci era abituato, così si è fatto trovare preparato.<br>Attacchi ad area super veloci con danni critici.
268	Professor Orso diceva "Le ragazze sono più carine<br>con un Gatto in mano!" Così ha cambiato fazione.<br>Il suo bazooka si è rotto, però... (A distanza)	Mina è molto più famosa ora che fa parte dei<br>Gatti! Non al livello della Valchiria, però.<br>Il bazooka è ancora rotto... (A distanza)	Una dolce assassina che difende le adorabili creature<br>dei boschi. Non toccare i suoi cuccioli o sei morto.<br>Potrebbe indebolire Antichi con attacchi ad area a distanza.
269	Sarà pure un piagnucolone, ma è ancora giovane!<br>È che non capisce bene il suo potere.<br>Efficace contro i nemici con un tratto. (Danni ad area)	Appare solo a chi cerca il vero potere.<br>Efficace contro i nemici con un tratto, immune dagli<br>attacchi a ondata. Possib. danni critici (danni ad area).	
270	Possessed by a dark soul, she feverishly hunts<br>down the mystery behind the annihiliation.<br>Massive Area damage against Red and Black.	Desperate to solve the mystery, she has given<br>herself totally over to darkness and Catness.<br>Massive Area damage against Red and Black.	Darkness has given Yuki cute Cat ears, a tail,<br>and the power to call forth stronger corrupt souls.<br>Massive Area damage against Red and Black.
271	La potenza e bellezza del sole personificati.<br>Doma i nemici con il suo specchio sacro.<br>Danni ad area enormi contro nemici con un tratto.	Nessuno può resistere al bagliore di questa<br>dea. Le anime oscure si inchinano al suo specchio santo!<br>Danni ad area enormi contro nemici con un tratto.	Dea misericordiosa che sfrutta il potere del frutto<br>della creazione per benedire la terra con la luce del sole.<br>Danni ad area enormi contro nemici con un tratto.
272	Signore del sapere e della magnificenza, guardiano<br>del sacro tesoro che allontana la cattiva sorte.<br>Più potente quando subisce danni. (Attacco area a distanza)	Chi lo segue diventerà ricco e saggio,<br>mentre colpisce duro i nemici con potenza infinita. Più<br>potente quando subisce danni. (Danni ad area a distanza)	Dio della prosperità che usa il frutto della creazione<br>per benedire l'umanità con ricchezza, saggezza e fortuna.<br>Attacchi ad area a distanza più potenti quando subisce danni.
273	Saltella sul campo di calcio e le sue canzoni<br>giovanili riempiono di determinazione i Battle Cats.<br>100% possibilità di attacco critico!	La realtà ha chiamato, ma il suo entusiasmo<br>è rimasto! Il suo servizio rapido riempie i<br>Gatti di determinazione! 100% danni critici.	Ha risparmiato abbastanza da comprarsi un ristorante!<br>I suoi ramen sono i migliori in città, e il suo<br>servizio è sempre impeccabile. 100% danni critici.
274	Passa le sue giornate estive a maledire le coppie<br>in spiaggia dalla terrazza della sua casa vacanze.<br>Danni ad area enormi ai nemici rossi.	È scivolata nell'oltretomba a due anni, ma<br>i giorni d'estate la fanno sentire quasi umana.<br>Danni ad area enormi ai nemici rossi.	
275	Indossa la sua uniforme da coniglio come copertura<br>per rintracciare i cattivi sulle spiagge mediterranee.<br>100% rallentamento contro nemici angelici/neri (danni ad area).	Dopo aver identificato l'obiettivo, indossa un altro<br>costume estivo furtivo. È ora di passare all'attacco<br>e uccidere! Efficace contro nemici angelici/neri (danni ad area).	
276	Quest'anno prenderà sicuramente la medaglia d'oro<br>alla gara di nuoto, anche se non si toglierà mai<br>i guanti. 100% possibilità di danni critici.	L'idolo amato da tutti è pronta a superare<br>l'ansia di essere vista in costume. Puoi farcela,<br>Neneko! 100% possibilità di danni critici.	Sotto i raggi accecanti del sole estivo,<br>ogni giorno è un'occasione per creare nuovi ricordi.<br>100% possibilità di danni critici.
277	Edible fungus aiming to rule the<br>table as the staple food. Cheap to<br>produce, so send 'em en masse!	Cutting-edge science allowed<br>him to grow a Cat? Cheap to<br>produce, so send 'em en masse!	
278	Thought about adding a harvester,<br>but decided a tank was cooler.<br>Great for long-distance combat.	A rowdy Cat took over the<br>controls while no one was looking.<br>Great for long-distance combat.	
279	Loves long baths in miso soup,<br>always barely escaping when served.<br>Master of powerful single strikes.	A new brand of Cat Food caused<br>some strange new growth patterns.<br>Master of powerful single strikes.	
280	A mobile fortress able to defend<br>against attacks from any direction.<br>Tough unit able to withstand siege.	The fortress has been redesigned<br>for extra appeal to the Internet.<br>Tough unit able to withstand siege.	
281			
282	Che si tratti di un Gatto che balla o di un Gatto che guarda,<br>siamo tutti Gatti, quindi perché non ballare e basta?<br>Super economico, per grandi sfilate.	Oh issa! Oh issa! Una danza per pescatori:<br>ovviamente i Gatti sostengono questa tradizione!<br>Super economico, ideale per enormi pescate.	Ballerino attraente che affascina le señoritas<br>con passi straordinari fino alle prime luci dell'alba.<br>Ammazza Behemoth e per di più un'unità super economica.
283	Ragazza immagine di un famoso ristorante dim sum.<br>Porta sempre con sé il suo cimelio, il Martello Cremisi.<br>Resiste agli attacchi dei rossi, danni ad area enormi.	Sigilli mistici sono stati infranti, rilasciando<br>il potere del Martello del Panda rosso.<br>Resiste agli attacchi dei rossi, danni ad area enormi.	Annienta i rivali nell'arena sotterranea con<br>la potenza schiacciante del Martello del Maestro Panda!<br>Resiste agli attacchi dei rossi, danni ad area enormi.
284	Treno a 1 vagone con una velocità max di 222 km/h.<br>Il 120% dei posti sono occupati.<br>Soldi extra quando sconfigge i nemici!	Gattreno a 222 posti con una velocità max di<br>222 km/h, una benedizione per i pendogatti.<br>Soldi extra quando sconfigge i nemici!	Può ospitare un massimo di 2222 passeggeri<br>in un viaggio attorno al mondo a 20,000,000 km/h.<br>Soldi extra quando sconfigge i nemici!
285			
286	Un giovane mech costruito per attacchi aerei<br>con tecnologie futuristiche proibite da leggi internazionali.<br>Resistente a/enormi danni ad area contro fluttuanti.	Potenziato, è fuggito dalla detenzione governativa<br>per usare il suo potente arsenale a favore degli innocenti.<br>Resistente a/enormi danni ad area contro fluttuanti.	Potenziato per attacchi aerei con tecnologia segreta!<br>Fa piovere raggi roventi mentre si libra in cielo.<br>Resistente a/enormi danni ad area contro fluttuanti.
287	Giovane, ma pieno di potenziale. Reclutato<br>dai pulcini al campionato locale.<br>Resistente ad alieni, danni ad area a distanza.	Questa leggenda sportiva è troppo cicciona per correre,<br>ma la sua media di colpi è fuori dal mondo.<br>Resistente ad alieni, sfonda barriere, a distanza.	Re delle buche del parco locale. Interessante<br>la tecnica di fairway ispirata alla sua carriera passata.<br>Resistente ad alieni, sfonda barriere, a distanza.
288	From Madoka Magica The Movie -Rebellion-!<br>A sweet girl who cares deeply for her friends.<br>Strong vs Floating, with Long-Range Slow Area atks.	From Madoka Magica The Movie -Rebellion-!<br>Loyal Magical Girl bearing a tremendous power.<br>Strong vs Floating, with Long-Range Slow Area atks.	
289	From Madoka Magica The Movie -Rebellion-!<br>A cool-headed and mysterious Magical Girl.<br>Area attacks might Freeze Black enemies	From Madoka Magica The Movie -Rebellion-!<br>A Magical Girl who can command time itself.<br>Area attacks might Freeze Black enemies	
290	From Madoka Magica The Movie -Rebellion-!<br>Practical Magical Girl, deals with trouble directly.<br>Survives once, Area Atk power grows after damage!	From Madoka Magica The Movie -Rebellion-!<br>Made a healing wish as part of her contract.<br>Survives once, Area Atk power grows after damage!	
291	From Madoka Magica The Movie -Rebellion-!<br>Veteran Magical Girl who watches over rookies.<br>Massive Long-Range Area damage vs. Angels.	From Madoka Magica The Movie -Rebellion-!<br>Magical Girl who endures painful loneliness.<br>Massive Long-Range Area damage vs. Angels.	
292	From Madoka Magica The Movie -Rebellion-!<br>Selfish Magical Girl, doesn't mind collateral damage.<br>Area attacks might Weaken and Knockback Red.	From Madoka Magica The Movie -Rebellion-!<br>This Magical Girl won't forgive those who waste food.<br>Area attacks might Weaken and Knockback Red.	
293	From Madoka Magica The Movie -Rebellion-!<br>Make a contract with him and your wish will come true.<br>Tough vs. Aliens, might Survive a lethal attack	From Madoka Magica The Movie -Rebellion-!<br>He seeks pure-hearted girls dreaming of a miracle.<br>Tough vs. Aliens, might Survive a lethal attack	
294	A kind-hearted Cat who admires Magical Girls.<br>She will do anything to help her friends.<br>Might Slow Floating enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Uses her powers only to help others.<br>Might Slow Floating enemies.	
295	A Cat who admires cool and mysterious Magical<br>Girls. She's still too excitable to pull it off though...<br>Might Freeze Black enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Don't be intimidated by her toy gun.<br>Might Freeze Black enemies.	
296	A guileless Cat who admires Magical Girls.<br>Visits her sick friend every day without fail.<br>Grows stronger after taking damage!	This Magical Cat made a contract with a suspicious<br>white creature. Wields a magically summoned sword.<br>Grows stronger after taking damage!	
297	A wise guardian Cat who admires Magical Girls.<br>Gets excited whenever she sees a pretty ribbon.<br>Delivers massive damage to Angels.	This Magical Cat made a contract with a suspicious<br>white creature. Gets dizzy after using Tiro Finale.<br>Delivers massive damage to Angels.	
298	A Cat who admires Magical Girls with endless<br>appetite. Don't waste good food or you'll get it!<br>Might Weaken Red enemies.	This Magical Cat made a contract with a suspicious<br>white creature. Made her spear in shop class.<br>Might Weaken Red enemies.	
299	From Madoka Magica The Movie -Rebellion-!<br>A girl with vast potential hiding in her tiny body.<br>	From Madoka Magica The Movie -Rebellion-!<br>Bears the true power of a Magical Girl within her.<br>Massive Long-range damage vs. Floating.	From Madoka Magica The Movie -Rebellion-!<br>Can alter the laws of time and space with her gift!<br>Massive Long-range damage vs. Floating.
300	From Madoka Magica The Movie -Rebellion-!<br>A young girl with an indomitable will.<br>	From Madoka Magica The Movie -Rebellion-!<br>She will continue fighting until Walpurgisnacht<br>is defeated, at any cost. (Area Attack)	From Madoka Magica The Movie -Rebellion-!<br>She will relentlessly consume all things holy.<br>Area attacks might Weaken Black enemies.
301	A ruthless Cat wearing a cute animal costume.<br>Seeking girls who have a wish they want granted.<br>Might Survive a lethal attack.	A ruthless Cat wearing a cute animal costume.<br>Evolved for improved stylishness and adorability.<br>Might Survive a lethal attack.	
302	La neve scarseggia prima di novembre, quindi<br>Geligatto ha optato per un look più malizioso e spettrale.<br>Potrebbe immobilizzare angelici con terrore. (Attacco area)	L'amore per gli scherzi di Halloween ha preso<br>il sopravvento su Geligatto... L'inverno farà rivivere il suo<br>cuore freddo ma gentile? Può immobilizzare angelici (Area).	Con un look seducente e un mucchio di caramelle,<br>questo demone ruba i cuori per portarli nei regni<br>Aku. Att. ad area possono immobilizzare angelici/Aku.
303	Pianifica di monopolizzare il mercato dei calamari grigliati.<br>Ha dimenticato di pagare le tasse, così ora fa<br>affari in fuga. Danni enormi contro angelici.	Ti porta i regali del Gatto divino! Ovviamente,<br>pagamento alla consegna. Paga subito o<br>rischi la collera divina. Danni enormi contro angelici.	
304	I coraggiosi stagisti del reparto ingegneria felina<br>hanno costruito un'arma da terra incredibile! Potenti<br>attacchi a lungo raggio anti-zombi, può indebolire!	Con un'armatura pesante, un arsenale di cannoni<br>a lungo raggio e caricata con truppe d'assalto, GAT-6<br>è forte contro zombi e indebolisce i nemici.	L'apice di secoli di tecnologia felina:<br>questo panzer semi-indistruttibile ha grande<br>difesa contro zombi e indebolisce i nemici.
305	I coraggiosi stagisti del reparto ingegneria felina<br>hanno costruito una corazzata retrò per dominare i mari!<br>Attacchi ad area infliggono danni enormi contro nemici rossi.	Vanta un equipaggio di marine d'élite e una<br>trivella in grado di bucare ogni scafo: la Cuordileone<br>infligge grandi danni ad area contro rossi e zombi.	Le Forze Speciali dell'armata felina usano questa corazzata<br>dalle trivelle al Nekonium per attaccare in alto mare.<br>Danni ad area enormi contro rossi e zombi.
306	I coraggiosi stagisti del reparto ingegneria felina<br>hanno costruito un superbo velivolo strategico. Attacchi<br>ad area respingono zombi con facilità.	La minaccia aerea definitiva: lancia infiniti<br>megatoni di munizioni sui nemici a terra. Attacchi<br>ad area infliggono potenti Respinte contro zombi.	Una forza di totale dominio aereo e un'arma chiave<br>per i Gatti per creare un mondo ideale.<br>Attacchi ad area infliggono potenti Respinte contro zombi.
307	Librandosi nel cielo blu con un solo<br>palo, è l'apoteosi dell'atletismo.<br>Attacchi ad area possono rallentare zombi.	Ha vinto il Guinness dei primati per il salto<br>con l'asta felino. Sposerà il suo allenatore<br>l'anno prossimo. Attacchi ad area possono rallentare zombi.	Si è ritirata con 4 record mondiali ancora imbattuti.<br>Le sue abilità sono applicabili alla vita quotidiana!<br>Attacchi ad area a distanza possono rallentare zombi.
