000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
222	Recruited from Metal Slug Defense!<br>Giant crab that uses tank wreckage to attack.<br>Strong against Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Terrifying claws wade towards the beachhead!<br>Strong against Aliens. (Area Atk)	
223	Recruited from Metal Slug Defense!<br>A robotic guardian who patrols secret factories.<br>Might knockback + slow Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fires lasers powerful enough to vaporize all matter.<br>Might knockback + slow Aliens. (Area Atk)	
224	Recruited from Metal Slug Defense!<br>A charismatic ex-general plotting a coup.<br>Knockback + resistant to Aliens. (Area Atk)	Recruited from Metal Slug Defense!<br>Fights corruption with rocket launcher in hand.<br>Knockback + resistant to Aliens. (Area Atk)	
225	Recruited from Metal Slug Defense!<br>Large bomber copter used by the Morden Army.<br>Might knockback + Strong def. vs Floating. (Area Atk)	Recruited from Metal Slug Defense!<br>A fighter used to ensure the safety of VIPs.<br>Might knockback + Strong def. vs Floating. (Area Atk)	
226	Ein frühreifer junger Zauberer, der einen Albtraum versklavt<br>hat. Seine höllischen Kräfte fügen nur Aliens, fliegenden<br>Feinden und feindlichen Basen heftigen Schaden zu.	Die wahre Form des Albtraums wurde enthüllt und nun<br>sammelt das Duo böse Seelen. Heftiger Schaden nur gegen<br>Engel und Aliens. Bonuszahlung für besiegte Feinde!	Hat online einen Kurs zu okkulter Anatomie belegt. Erster<br>Versuch einer Seelentransplantation: GROSSER ERFOLG!(?)<br>Teilt heftigen Schaden aus, aber nur gegen Aliens/Basen!
227	Eine schelmische Katze, die sich in einem geschnitzten<br>Kürbis versteckt hat. Ihre Lieblingsbeschäftigung ist es,<br>nichts ahnende Passanten zu erschrecken.	Jene, die nichts als Streiche im Kopf haben, werden verflucht<br>und treiben als Geist ihr Unwesen ... aber sie lernen dennoch<br>nicht daraus. Kann schwarze Feinde kurz einfrieren.	Erscheint bei Schlafenden und kündigt deren Tod an.<br>Das Verderben kommt sofort, nachdem sie „Abra Kadaver“ ruft!<br>Behemothtöter, stark gg. schwarze Feinde, kann sie einfrieren.
228	Der allseits beliebte Schatz ist zu Halloween kostümiert,<br>aber kriegt es nicht übers Herz, jemandem Streiche zu<br>spielen. Haudrauf möglich.	Kann nicht zaubern, aber sie war so glücklich, dass man sie<br>trotzdem zur Hexe ernannt hat. Ein bisschen Selbstvertrauen<br>könnte Berge versetzen. Haudrauf möglich.	Durchstreift zu Halloween die geschmückten Straßen. Hat sich<br>für nur eine Nacht mit Magie ein anderes Aussehen verschafft.<br>Wellenschild, Chance auf Haudrauf-Angriffe.
229	Die Herrin der Winde ist jedes Jahr im Halloween-Fieber.<br>Schieße mit unheimlichen Plasmastrahlen auf deine Feinde.<br>Heftiger Schaden gegen Alien-Feinde. Flächenangriff.	Der perfekte Halloween-Streich ist für dieses Megamädchen<br>ein Plasmastrahl, der völlig unerwartet abgefeuert wird.<br>Heftiger Schaden gegen Alien-Feinde. Flächenangriff.	
230	Die Donnerkönigin ist jedes Jahr im Halloween-Fieber.<br>Setzt Bösewichte mit Geisterblitzkugeln unter Strom.<br>Heftiger Schaden gegen schwarze Feinde. Flächenangriff.	Halloween ist die beste Gelegenheit, nette Jungs zu necken.<br>Setzt Bösewichte mit Geisterblitzkugeln unter Strom.<br>Heftiger Schaden gegen schwarze Feinde. Flächenangriff.	
231			
232			
233			
234			
235			
236			
237	Ein kleiner Neunmalklug, der die Aufnahmeprüfung für die<br>Nyarvard-Uni mit Bravour bestand. Knobelt feindliche<br>Schwachpunkte aus und schwächt ihren Angriff deutlich.	Gewann den Nyabel-Preis für Wirtschaftswissenschaften.<br>Seine Debattierfähigkeiten können Feinde so sehr verwirren,<br>dass sie einiges an Angriffskraft einbüßen.	Eine Legende von unerreichter Hirnschmalzmenge und Erfahrung.<br>Baut im Schlaf unfassbare XP-Mengen auf!<br>Schwächt Feinde mit Zufallsangriffen.
238	Erbe der legendären Reichen Katze. Reich geboren und<br>trotzdem ein Pfennigfuchser. Durchwühlt die Taschen<br>besiegter Feinde, um mehr Geld abzugreifen.	Vater der legendären Reichen Katze. Hat Reichtum angehäuft,<br>indem er den Profit seines kleinen Unternehmens nie ausgab.<br>Lebt vom Taschengeld besiegter Feinde.	Großvater der legendären Reichen Katze. Hat vor zweihundert<br>Jahren sechs Dollar in NekoSoft investiert. Jeder besiegte<br>Feind lässt seinen Kontostand steigen.
239	War vor der Schlacht im Bootcamp. Führt nur eine<br>Kartoffelkanone, also erwarte nicht ZU viel Rückstoß von<br>seinen weitreichenden Distanzangriffen.	Ein grimmiger Auftragskiller, der niemals versagt. Führt<br>immer noch Kartoffelkanonen als kleine Herausforderung.<br>Stößt nicht-eiserne Feinde zurück. Distanzangriff.	Freiberuflicher Scharfschütze, 31 Jahre alt. Hat all seine<br>Ausrüstung gebraucht auf OhHey-Kleinanzeigen gekauft.<br>Stößt nicht-eiserne Feinde zurück. Distanzangriff.
240	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesen ...<br>Stacheln???	Unmöglich. Das kann nicht sein ...<br>Überlebt einen tödlichen Schlag und wird durch jeden<br>erlittenen Schaden stärker (Flächenangriff).	Ein uralter Gott, der die Welt der Lebenden und die der Toten<br>verbindet. Überlebt 1x, wird durch jeden erlittenen Schaden<br>stärker (Flächenangriff).
241	Ein tollpatschiges Mädchen im Weihnachtskostüm!<br>Feuert einen mächtigen Eisstrahl mit kurzer Reichweite ab.<br>Resistent gegen Aliens/Engel. Flächenangriff.	Mag jeden Skifahrer, der lieb zu ihr ist.<br>Ein Fall von Liebe oder ein Sturz auf dem Eis?<br>Resistent gegen Aliens/Engel. Flächenangriff.	
242	Ein leidenschaftliches Mädchen im Weihnachtskostüm!<br>Heftiger Schaden durch ihre Distanz-Baumattacke!<br>Stark gegen Aliens/Engel. Flächenangriff.	Ihr Weihnachtsoutfit weckt ihre sanfte Seite!<br>Aber Mistelzweige machen sie immer noch nervös.<br>Stark gegen Aliens/Engel. Flächenangriff.	
243	Eine heilige Wächterin im Weihnachtskostüm!<br>Ihr heiliger Segen radiert das Böse aus!<br>Kann Aliens/Engel einfrieren. Flächenangriff.	Sie ist ein Mädchen, das nie lächelt, aber die<br>Weihnachtsstimmung bringt sie zumindest zum Schmunzeln.<br>Kann Aliens/Engel einfrieren. Flächenangriff.	
244	Ein nettes Geschenk vom Weihnachtsmann.<br>Kannst du erraten, was sich darin verbirgt?<br>Kann Engel-Feinde einfrieren.	Ein nettes Geschenk von der Katzenarmee.<br>Irgendetwas poltert darin herum ...<br>Kann Engel-Feinde einfrieren.	Ein nettes Geschenk vom Weihnachtsmann.<br>Kannst du erraten, was sich darin verbirgt?<br>Kann Engel-Feinde einfrieren.
245	Ein Winzling, der davon träumt, die Katze zu werden,<br>die außergewöhnliche Kampfkraft und Reichweite besitzt.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die überaus hübsche Beine hat.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die die Kunst der Beine gemeistert hat.<br>Kann Aliens zurückstoßen und Barrieren durchbrechen.
246	Ein Winzling, der davon träumt, die Katze zu werden,<br>die schnell und mit Köpfchen reagiert!<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die nur zu Rock ’n’ Roll headbangt.<br>	Ein Winzling, der davon träumt, die Katze zu werden,<br>die mit ihrer Mähne das Haus putzen kann.<br>Immun gegen Wellen.
247	Ein Winzling, der davon träumt, die Katze zu werden,<br>die die Gesundheit einer Erbse und außergewöhnliche<br>Angriffskraft besitzt. Flächenangriff.	Ein Winzling, der davon träumt, die Katze zu werden,<br>die die Schwerkraft überwunden hat. Kann sich gut gegen<br>mehrere Feinde behaupten. Flächenangriff.	Ein Winzling, der davon träumt, die Katze zu werden,<br>die eine Stadt mit Licht zerstört hat.<br>Stark gegen Zombie-Feinde. Flächenangriff.
248	Ein Überraschungsgast aus GirlsMons! Wurde überfahren, aber<br>kommt trotzdem ganz gut klar! Kann Zombies in der<br>Bewegung lähmen!	Ein Überraschungsgast aus GirlsMons! Eine Geisterkatze, die<br>von der Welt der Sterblichen besessen ist.<br>Kann Zombies in der Bewegung lähmen.	Katze, die durch eine interdimensionale Tür geschritten ist.<br>Wer hindurchgeht, kann nie wieder zurückkehren.<br>Geringe Chance, Zombies zu lähmen.
249			
250			
251			
252			
253			
254			
255			
256			
257	Die höchste Instanz der alten Götter des Olymps.<br>Verheert mit seiner himmlischen Lanze das Schlachtfeld.<br>Stark gegen Engel. (Flächenangriff)	Er zieht noch größere Stärke aus seinem himmlischen Zorn!<br>Seine himmlische Klinge äschert Feinde ein.<br>Stark gegen Engel (Flächenangriff).	Erbe des Manasegens. Führt die Macht der Frucht der<br>Schöpfung, um ein neues Paradies zu erschaffen.<br>Schwach gegen Heras Zorn, Stark gegen Engel (Flächenangriff).
258	Gott des Todes, der die Seelen der Menschen in die Unterwelt<br>begleitet. Sein Unterweltstab läutert die Sünden der<br>Sterblichen. Immun gegen Wellenangriffe. (Flächenangriff)	Seine Herrschaft über die Unterwelt ist absolut.<br>Eine einzige Berührung des heiligen Stabes löscht jeden<br>Lebensfunken. Immun gegen Wellenangriffe (Flächenangriff).	Todesgott, der die Frucht der Schöpfung nutzt, um die Bande<br>zu trennen, die die Totenseelen an irdische Gefilde binden.<br>Immun gegen Wellenangriffe (Flächenangriff).
259	Gottheit der Schönheit, des Stolzes, der Liebe und noch mehr.<br>Ihr goldener Bogen trifft auch aus der Ferne immer sein Ziel.<br>Fügt Aliens heftigen Schaden zu (Distanzangriff).	Ihr brillanter Bogen kann ein langes Leben schenken oder es<br>nehmen ... Pass auf, was du in Gegenwart der Göttin sagst!<br>Fügt Aliens heftigen Schaden zu (Distanzangriff).	Göttin der Liebe, der Schönheit und des Stolzes. Von der<br>Frucht der Schöpfung gesegnet. Leben und Tod dienen ihr.<br>Heftiger Distanz-Flächenschaden gegen Aliens.
260	Ein Tech-CEO, der stilvoll durchs Büro düst und faule<br>Praktikanten sucht, um sie zu bestrafen! Stark gegen rote,<br>schwarze und Engel-Feinde. Flächenangriff.	Eine hochmoderne, unbemannte Luftkatze (ULK). Stürzt<br>regelmäßig ab ... Die Technik ist noch nicht ausgereift!<br>Stark gegen rote, schwarze und Engel-Feinde. Flächenangriff.	Besucher einer möglichen Zukunft, der die heutigen Katzen<br>beehrt. Schleicht sich gern ohne Karte ins Kino ...<br>Stark gegen rote, schwarze und Engel-Feinde. Flächenangriff.
261	Kann mit seiner mystischen Klansklinge das Böse<br>wegsperren. Der Weg der Ninja kennt keine Gnade.<br>Haudrauf möglich (Distanz-Flächenangriff).	Die übernatürliche Macht in ihm droht, ihn zu verschlingen.<br>Wird er beim Kampf gegen das Böse seine Seele verlieren?<br>Distanzangriffe. Rückstoß & Verlangsamen gegen Aliens.	Die Macht seines Dämons wurde kybernetisch mit einer<br>Höllenmaschine, die sein Herz ersetzt, verbessert.<br>Distanzangriffe. Rückstoß & Verlangsamen gg. Zombies.
262			
263			
264			
265			
266			
267	Wollte unbedingt schulfrei haben und wurde daher zum Taifun,<br>wegen dessen eine Unwetterwarnung ausgesprochen wurde.<br>Superschnelle Haudrauf-Flächenangriffe.	Ein Nebeneffekt von El Niño. Bedrohlich neugierig; wirbelt<br>alles hoch, was er sich genauer anschauen möchte.<br>Superschnelle Haudrauf-Flächenangriffe.	Wurde mitsamt der ganzen Stadt von einem Sturm erfasst.<br>Hat sich daran gewöhnt und ist mittlerweile wetterfest.<br>Superschnelle Haudrauf-Flächenangriffe.
268	Der Lehrerbär sagte: „Mädchen sind mit einer Katze in der<br>Hand am niedlichsten!“ Also hat sie Verbündete gesucht.<br>Ihre Panzerfaust ist aber kaputt ... Distanz-Flächenangriff.	Mina ist tatsächlich beliebter, seit sie sich den Katzen<br>angeschlossen hat! Bis zur Walküre fehlt aber noch ein Stück.<br>Die Panzerfaust ist immer noch kaputt ... Distanz-Flächenangr.	Eine süße Killerin, die die süßen Tiere des Waldes beschützt.<br>Fass ihre Babys nicht an, sonst bist du tot.<br>Kann Relikte schwächen. Distanz-Flächenangriff.
269	Ist vielleicht eine Heulsuse, aber ist ja auch noch jung!<br>Er weiß nicht um die Macht, die in ihm schlummert.<br>Stark gegen Feinde mit einem Wert. (Flächenangriff)	Erscheint nur jenen, die wahre Macht suchen.<br>Stark gegen Feinde mit einem Wert, immun gegen<br>Wellenangriffe. Haudrauf-Angriffe möglich (Flächenangriffe).	
270	Possessed by a dark soul, she feverishly hunts<br>down the mystery behind the annihiliation.<br>Massive Area damage against Red and Black.	Desperate to solve the mystery, she has given<br>herself totally over to darkness and Catness.<br>Massive Area damage against Red and Black.	Darkness has given Yuki cute Cat ears, a tail,<br>and the power to call forth stronger corrupt souls.<br>Massive Area damage against Red and Black.
271	Die Verkörperung der Macht und Schönheit der Sonne.<br>Sie unterwirft ihre Feinde mithilfe ihres heiligen Spiegels.<br>Heftiger Flächenschaden an Feinden mit einem Wert.	Niemand kann dem Glanz dieser Göttin widerstehen.<br>Dunkle Seelen knien vor ihrem heiligen Spiegel nieder!<br>Heftiger Flächenschaden an Feinden mit einem Wert.	Gnädige Göttin, die die Mächte der Frucht der Schöpfung<br>nutz, um die Erde mit Sonnenlicht zu segnen.<br>Heftiger Flächenschaden an Feinden mit einem Wert.
272	Patron der Gelehrten und der Pracht, Wächter der heiligen<br>Schätze, die vor Unglück schützen.<br>Erlittener Schaden stärkt (Distanz-Flächenangriff)	All seine Anhänger werden reich und weise, während er seine<br>Feinde mit unendlicher Macht zerschmettert. Erlittener<br>Schaden stärkt ihn (Distanz-Flächenangriff).	Der Gott des Reichtums, der die Frucht der Schöpfung nutzt,<br>um Menschen mit Wohlstand, Weisheit und Glück zu segnen.<br>Erlittener Schaden stärkt Distanz-Flächenangriffe.
273	Tanzt auf dem Spielfeld herum und ihr jugendlicher Gesang<br>erfüllt die Kampfkatzen mit Entschlossenheit.<br>Garantierter Haudrauf!	Die Realität hat sie eingeholt, aber ihr Enthusiasmus bleibt<br>unerschütterlich! Ihr flinker Service erfüllt die Katzen mit<br>Entschlossenheit. Garantierter Haudrauf.	Endlich hat sie das Geld für ein Restaurant zusammen!<br>Ihre Nudeln sind die besten der ganzen Stadt und ihr Service<br>ist stets stilvoll. Garantierter Haudrauf.
274	Verbringt ruhige Sommertage damit, Paare von der Terrasse<br>ihres Ferienhauses aus zu verfluchen.<br>Heftiger Schaden gegen rote Feinde. Flächenangriff.	Stahl sich als 2-Jährige ins Jenseits, aber an Sommertagen<br>fühlt sie sich beinahe wieder wie ein Mensch.<br>Heftiger Schaden gegen rote Feinde. Flächenangriff.	
275	Sie trägt ihre Undercover-Hasenuniform, mit der sie Schergen<br>an sonnigen Mittelmeerstränden aufspürt.<br>Lähmt schwarze/Engel-Feinde garantiert (Flächenangriff)	Sobald sie das Ziel gefunden hat, zieht sie ein unauffälliges<br>Sommeroutfit an. Es ist Zeit, zuzuschlagen!<br>Stark gegen schwarze/Engel-Feinde (Flächenangriff).	
276	Dieses Jahr wird sie definitiv die Goldmedaille im Schwimmen<br>abräumen, obwohl sie nicht einmal die Handschuhe auszieht.<br>Garantierter Haudrauf.	Der beliebte, unschuldige Star hat seine Angst überwunden,<br>sich in einem Badeanzug zu zeigen. Du schaffst es, Neneko!<br>Garantierter Haudrauf.	Beim Baden in den blendenden Strahlen der Sommersonne<br>sind neue Sommererinnerungen nur einen tollen Tag entfernt.<br>Garantierter Haudrauf.
277	Edible fungus aiming to rule the<br>table as the staple food. Cheap to<br>produce, so send 'em en masse!	Cutting-edge science allowed<br>him to grow a Cat? Cheap to<br>produce, so send 'em en masse!	
278	Thought about adding a harvester,<br>but decided a tank was cooler.<br>Great for long-distance combat.	A rowdy Cat took over the<br>controls while no one was looking.<br>Great for long-distance combat.	
279	Loves long baths in miso soup,<br>always barely escaping when served.<br>Master of powerful single strikes.	A new brand of Cat Food caused<br>some strange new growth patterns.<br>Master of powerful single strikes.	
280	A mobile fortress able to defend<br>against attacks from any direction.<br>Tough unit able to withstand siege.	The fortress has been redesigned<br>for extra appeal to the Internet.<br>Tough unit able to withstand siege.	
281			
282	Egal ob tanzende Katze oder beobachtende Katze, jeder ist<br>eine Katze, wieso tanzt du also nicht einfach mit?<br>Supergünstig, was große Aufmärsche ermöglicht.	Heho! Heho! Ein Tanz für etwas Fisch – natürlich finden<br>Katzen diese Tradition unterstützenswert!<br>Supergünstig, was großen Fang ermöglicht.	Gutaussehender Tänzer betört die Damen mit hervorragenden<br>Tanzschritten bis ins Morgengrauen.<br>Behemothtöter und extrem günstige Einheit.
283	Werbefigur für ein berühmtes Dim-Sum-Restaurant.<br>Trägt stets den blutroten Hammer ihrer Familie.<br>Resistent gegen rote Angriffe, heftiger Flächenschaden.	Mystische Siegel wurden gebrochen und gaben die sexy Kraft<br>des Roter-Panda-Hammers frei.<br>Resistent gegen rote Angriffe, heftiger Flächenschaden.	Vernichtet Rivalen in der Untergrundarena mit der<br>durchschlagenden Macht des Meister-Panda-Hammers!<br>Resistent gegen rote Angriffe, heftiger Flächenschaden.
284	1-Waggon-Zug mit einer Höchstgeschwindigkeit<br>von 222 km/h. 120 % der Plätze waren heute belegt.<br>Bonuszahlung für besiegte Feinde!	Platz für 222 Katzen, Höchstgeschwindigkeit von 2222 km/h.<br>Ein Segen für alle Katzen-Pendler.<br>Bonuszahlung für besiegte Feinde!	Kann maximal 2222 Passagiere auf eine Weltreise mit einer<br>Geschwindigkeit von 20.000.000 km/h mitnehmen.<br>Bonuszahlung für besiegte Feinde!
