000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
227	Un Chat espiègle qui se cache dans une citrouille sculptée.<br>Passe son temps à faire peur aux passants<br>insouciants.	Les incorrigibles farceurs sont condamnés<br>à devenir des fantômes errants... mais ne retiennent pas<br>la leçon. Peut immobiliser brièvement les ennemis noirs.	Apparaît près des dormeurs pour signaler leur mort.<br>Le trépas ne tarde pas quand il incante : « Abura Cadavra ! »<br>Fléau des Béhémoths, assure contre/gèle les ennemis noirs.
228	Notre coqueluche déguisée pour Halloween n’a pas le cœur<br>à faire des farces.<br>Ses attaques peuvent être critiques.	Aucun talent de magicienne, mais tellement enthousiaste<br>qu’on en a fait une sorcière. Son manque de confiance en elle<br>la bloque. (Critique)	Elle arpente les rues décorées d’Halloween, avec<br>un look créé par magie qui ne dure qu’une seule nuit.<br>Bloque-vagues, chance d’attaques critiques.
229	La maîtresse du vent fête Halloween tous les ans.<br>Souffle les ennemis avec des rayons plasma surnaturels.<br>Dégâts massifs contre les aliens à distance.	Pour elle, la farce idéale d’Halloween est de lancer<br>des rayons plasma quand on s’y attend le moins.<br>Dégâts massifs contre les aliens à distance.	
230	La reine du tonnerre fête Halloween tous les ans.<br>Électrocute les ennemis avec des salves d’éclairs spectraux.<br>Dégâts massifs contre les ennemis noirs à distance.	Halloween est le meilleur moment pour taquiner les garçons.<br>Électrocute les ennemis avec des salves d’éclairs spectraux.<br>Dégâts massifs contre les ennemis noirs à distance.	
231			
232			
233			
234			
235			
236			
237	Un p’tit malin qui a réussi haut la main l’examen d’entrée<br>à l’université de Nyarvard. Se sert de sa tête pour<br>déceler les points faibles des ennemis et les affaiblir.	A remporté le prix Nyabel d’économie, l’an dernier.<br>Son talent d’orateur embrouille les ennemis à tel point<br>qu’ils perdent en puissance d’attaque.	Son expérience et son intelligence sont légendaires.<br>Accumule des quantités folles d’XP dans son sommeil !<br>Affaiblit les ennemis avec des répliques offensives.
238	Héritier du légendaire Chat fortuné. Né avec une cuillère<br>en argent dans la bouche, n’en est pas moins pingre !<br>Détrousse ses ennemis vaincus pour s’enrichir toujours plus.	Père du légendaire Chat fortuné. S’est enrichi en<br>n’ayant jamais dépensé les recettes de sa petite entreprise.<br>Vit de l’argent de poche des ennemis vaincus qu’il détrousse.	Grand-père du légendaire Chat fortuné. Il a investi<br>6 dollars dans NekoSoft il y a 200 ans de ça.<br>Tout ennemi tué ajoute plus de $ à son compte.
239	S’est entraîné dur avant d’aller sur le terrain. N’a qu’un<br>lance-patates, alors ne t’attends pas à beaucoup de recul<br>des ennemis avec ses attaques à très longue distance.	Un assassin déterminé qui ne rate jamais son coup.<br>A encore son lance-patates pour se stimuler.<br>Att. longue distance avec recul des ennemis non-métal.	Un tireur indépendant de 31 ans qui a acheté tout<br>son équipement d’occasion sur Le Bon Félin.<br>Att. longue distance avec recul des ennemis non-métal.
240	Est-ce un Chat ?<br>Il a quand même de drôles<br>de pointes...	Non... Impossible...<br>Survit à 1 frappe fatale et plus il subit de dégâts,<br>plus il devient fort. (Att. de zone)	Un dieu ancestral qui relie le monde des vivants à celui<br>des morts. Survit une fois, et plus il subit de dégâts,<br>plus il devient fort. (Att. de zone)
241	Une jeune fille maladroite en tenue de Noël !<br>Lance un puissant rayon de glace à courte portée.<br>Résiste aux aliens/anges. (Att. de zone)	Se jette sur tout skieur gentil à son égard.<br>Coup de foudre ou maladresse ?<br>Résiste aux aliens/anges. (Att. de zone)	
242	Une jeune fille passionnée en tenue de Noël !<br>Son attaque sylvestre longue portée inflige de gros dégâts.<br>Forte contre les aliens/anges. (Att. de zone)	L’ambiance de Noël la met de bonne humeur !<br>Mais le gui la rend nerveuse.<br>Forte contre les aliens/anges. (Att. de zone)	
243	Une gardienne sacrée en tenue de Noël !<br>Ses bénédictions anéantissent le mal.<br>Peut immobiliser les aliens/anges. (Att. de zone)	Elle ne sourit jamais en dehors<br>de la période de Noël.<br>Peut immobiliser les aliens/anges. (Att. de zone)	
244	Un adorable cadeau, merci père Noël !<br>Mais qui y a-t-il à l’intérieur ?<br>Immobilise occasionnellement les anges.	Un adorable cadeau de l’armée des Chats.<br>Ça bouge à l’intérieur...<br>Immobilise occasionnellement les anges.	Un adorable cadeau, merci père Noël !<br>Mais qui y a-t-il à l’intérieur ?<br>Immobilise occasionnellement les anges.
245	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat à la puissance et portée d’att. exceptionnelles.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat aux jambes époustouflantes.<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat aux jambes musculeuses.<br>Peut repousser les aliens et briser les barrières.
246	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat qui réfléchit vite et bien !<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat qui ne secoue la tête que sur du rock !<br>	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat qui utilise sa crinière pour faire le ménage.<br>Immunité aux dégâts de vagues.
247	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat à la santé minime mais à la puissance d’attaque<br>exceptionnelle. (Att. de zone)	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat capable de défier la gravité et efficace contre<br>plusieurs ennemis. (Att. de zone)	Une petite boule de poils qui rêve de devenir le célèbre<br>Chat qui a détruit une ville avec des rayons lumineux,<br>Fort contre les zombies. (Att. de zone)
248	Issu du jeu GirlsMons ! Renversé par une voiture,<br>il a survécu (plus ou moins) ! Peut<br>ralentir les zombies.	Issu du jeu GirlsMons ! Un Chat spectral<br>obsédé par le royaume des mortels.<br>Peut ralentir les zombies.	Ce Chat est passé par une porte interdimensionnelle.<br>Si tu y passes aussi, tu ne pourras pas revenir.<br>A une petite chance de ralentir les zombies.
249			
250			
251			
252			
253			
254			
255			
256			
257	L’autorité suprême des dieux antiques de l’Olympe.<br>Abat le chaos avec sa lance divine.<br>Assure contre les anges. (Att. de zone)	Habité par une rage céleste, sa puissance ne cesse<br>de croître ! Sa lame divine réduit les ennemis en cendres.<br>Assure contre les anges. (Att. de zone)	Héritier de la bénédiction du mana, il détient le pouvoir<br>du fruit de la création afin d’engendrer un nouveau paradis.<br>Faible contre Héra, assure contre les anges. (Att. de zone).
258	Dieu de la mort qui guide les âmes des humains aux enfers.<br>Son bâton des ténèbres lave les mortels de leurs péchés.<br>Insensible aux vagues offensives. (Att. de zone)	Sa domination de l’au-delà est complète.<br>Son bâton sacré éteint toute vie au moindre contact.<br>Insensible aux vagues offensives. (Att. de zone)	Dieu de la mort qui utilise le fruit de la création pour<br>briser les liens entre les morts et les vivants.<br>Insensible aux vagues offensives. (Att. de zone)
259	Déesse de la beauté, de l’orgueil, de l’amour, et j’en passe.<br>Son arc doré ne rate jamais sa cible, même à distance.<br>Inflige des dégâts massifs aux aliens. (Longue distance)	Son arc brillant peut prolonger la durée de vie,<br>ou l’inverse ! Bien se tenir en sa présence !<br>Inflige des dégâts massifs aux aliens. (Longue distance)	Déesse de l’amour et de la beauté. Bénie par le fruit<br>de la création, la vie et la mort sont à son service.<br>Dégâts de zone longue portée massifs contre les aliens.
260	Directeur des technologies qui parcourt les bureaux<br>en roulant, à l’affut de stagiaires fainéants à réprimander !<br>Fort contre les ennemis rouges/noirs/anges. (Att. de zone)	Un aéronef sans pilote félin dernier cri.<br>A tendance à s’écraser régulièrement... Peut mieux faire !<br>Fort contre les ennemis rouges/noirs/anges. (Zone)	Venu du futur pour aider tes Chats.<br>Se téléporte souvent dans les salles de cinéma...<br>Fort contre les ennemis rouges/noirs/anges. (Att. de zone)
261	Neutralise le mal avec la lame mystique de son clan.<br>La voie du ninja est sans pitié.<br>Attaques de zone/critiques longue portée.	Le pouvoir surnaturel qui l’habite menace de le consumer.<br>Anéantira-t-il le mal au péril de son âme ?<br>Att. de zone longue portée, recul/ralent. des aliens.	A amélioré sa puissance démoniaque grâce à la cybernétique.<br>Un moteur Inferno expérimental remplace son cœur.<br>Att. de zone longue portée, recul/ralent. des zombies.
262			
263			
264			
265			
266			
267	Voulait tellement sécher les cours qu’il s’est transformé<br>en typhon pour provoquer une catastrophe naturelle.<br>Att. de zone critiques à très grande vitesse.	Conséquence d’El Niño. Sa curiosité est dangereuse,<br>il aspire tout ce qu’il essaie d’entrevoir !<br>Att. de zone critiques à très grande vitesse.	Un typhon l’a emporté, et sa ville avec. Il s’est fait à<br>cette idée et est toujours prêt face aux caprices de la<br>météo. Att. de zone critiques à très grande vitesse.
268	Professeur Ours a dit que « les filles les plus mignonnes<br>ont un Chat ». Elle a donc changé de camp.<br>Son bazooka est cassé, en revanche. (Longue portée)	Mina est plus populaire depuis qu’elle a rejoint les Chats !<br>Mais pas autant que la Chalkyrie.<br>Son bazooka n’est toujours pas réparé. (Longue portée)	Une adorable tueuse qui protège les petites créatures<br>de la forêt. Ne touchez pas à ses bébés, sous peine de mort.<br>Peut affaiblir les reliques avec att. de zone longue portée.
269	C’est normal qu’il fasse son bébé !<br>Il n’a pas encore conscience de sa puissance.<br>Fort contre les ennemis à caractéristiques. (Att. de zone)	Apparaît à ceux qui convoitent la véritable puissance.<br>Fort contre les ennemis à caractéristiques, immun. Vagues<br>offensives. Ses attaques peuvent être crit. (Att. de zone)	
270	Possessed by a dark soul, she feverishly hunts<br>down the mystery behind the annihiliation.<br>Massive Area damage against Red and Black.	Desperate to solve the mystery, she has given<br>herself totally over to darkness and Catness.<br>Massive Area damage against Red and Black.	Darkness has given Yuki cute Cat ears, a tail,<br>and the power to call forth stronger corrupt souls.<br>Massive Area damage against Red and Black.
271	Incarne la puissance et la beauté du soleil.<br>Maîtrise ses ennemis grâce à son miroir sacré.<br>Dégâts de zone massifs contre les ennemis à caractéristiques.	Personne ne résiste à son rayonnement divin.<br>Les âmes sombres s’inclinent devant son miroir sacré !<br>Dégâts de zone massifs contre les ennemis à caractéristiques.	Une déesse miséricordieuse qui utilise le fruit<br>de la création pour bénir la terre de la lumière du soleil.<br>Dégâts de zone massifs contre les ennemis à caract.
272	Dieu du savoir et de la splendeur, gardien des trésors sacrés<br>qui protègent du malheur. Devient plus fort<br>en subissant des dégâts. (Att. de zone longue portée)	Ses disciples gagneront en sagesse et en prospérité.<br>Sa puissance infinie foudroie ses ennemis. Devient plus fort<br>en subissant des dégâts. (Att. de zone longue portée)	Le dieu de la prospérité qui utilise le fruit de la création<br>pour offrir richesse, sagesse et chance aux hommes.<br>Att. de zone longue portée décuplées en cas de dégâts.
273	Sautille sur le terrain de foot ! Ses encouragements<br>juvéniles donnent du courage aux Battle Cats.<br>100 % de chances d’attaque critique.	Le monde des grands l’appelle, mais son enthousiasme<br>n’a pas faibli ! Sa réactivité donne du courage aux Battle<br>Cats ! 100 % de chances d’attaque critique.	A ouvert son restaurant grâce à ses économies ! Fait les<br>meilleures nouilles de toute la ville, et son service<br>ne manque jamais d’élégance. 100 % de chances d’att. crit.
274	Passe ses vacances d’été à maudire les couples sur la plage<br>depuis le balcon de sa villa.<br>Dégâts de zone massifs contre les ennemis rouges.	Est tombée dans l’au-delà à l’âge de deux ans, mais l’été<br>lui donne l’impression de redevenir humaine.<br>Dégâts de zone massifs contre les ennemis rouges.	
275	Sa tenue de lapin lui sert à traquer (incognito ?)<br>les méchants sur les plages ensoleillées de la Méditerranée.<br>100 % de ralent. des ennemis anges/noirs. (Att. de zone)	Après avoir repéré sa cible, elle passe en mode furtivité<br>en tenue estivale. Il va y avoir du grabuge !<br>Forte contre les ennemis anges/noirs. (Att. de zone)	
276	Cette année, elle va remporter la médaille d’or du tournoi<br>de natation, même avec des gants !<br>100 % de chances d’attaque critique.	Notre coqueluche va enfin surmonter sa peur<br>d’être vue en maillot de bain. Tu peux le faire, Neneko !<br>100 % de chances d’attaque critique.	Quand on baigne dans la lumière du soleil estival,<br>on ne tarde pas à se faire de nouveaux souvenirs...<br>100 % de chances d’attaque critique.
277	Edible fungus aiming to rule the<br>table as the staple food. Cheap to<br>produce, so send 'em en masse!	Cutting-edge science allowed<br>him to grow a Cat? Cheap to<br>produce, so send 'em en masse!	
278	Thought about adding a harvester,<br>but decided a tank was cooler.<br>Great for long-distance combat.	A rowdy Cat took over the<br>controls while no one was looking.<br>Great for long-distance combat.	
