000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
217	メタルスラッグディフェンスから参戦！<br>正規軍情報特殊部隊の二等軍曹<br>エイリアンに超ダメージを与える(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>サバイバルもスパイもこなすメンフィスの爆弾娘<br>エイリアンに超ダメージを与える(範囲攻撃)	
218	メタルスラッグディフェンスから参戦！<br>正規軍情報特殊部隊の上級曹長で名門軍人家の一人娘<br>ごくたまにエイリアンの動きを遅くする	メタルスラッグディフェンスから参戦！<br>おっとりした性格でやや天然。ハンドガンで援護する<br>ごくたまにエイリアンの動きを遅くする	
219	メタルスラッグディフェンスから参戦！<br>一人乗り高性能小型戦車で<br>別名は「メタルスラッグ」(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>機動力に優れた正規軍主力戦車<br>キャノン砲で援護する(範囲攻撃)	
220	メタルスラッグディフェンスから参戦！<br>敵味方問わず恐れられているモーデン軍の「オニ軍曹」<br>1度だけ生き残る	メタルスラッグディフェンスから参戦！<br>雪山でも上半身裸で現れる不死身の軍曹<br>1度だけ生き残る	
221	メタルスラッグディフェンスから参戦！<br>いわゆる火星人<br>たまにエイリアンの攻撃力をダウンさせる	メタルスラッグディフェンスから参戦！<br>ワープしたり特殊な行動が可能、だが今回はしないらしい<br>たまにエイリアンの攻撃力をダウンさせる	
222	メタルスラッグディフェンスから参戦！<br>調査任務中の正規軍兵士が遭遇した巨大なヤドカリ<br>エイリアンにめっぽう強い(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>巨大な爪で砂をかき分けあらゆるものをなぎ倒す<br>エイリアンにめっぽう強い(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>砂をかき分け迫る巨大な爪の威力は強烈<br>エイリアンにめっぽう強い(範囲攻撃)
223	メタルスラッグディフェンスから参戦！<br>秘密工場を守る超大型護衛ロボット(範囲攻撃)<br>たまにエイリアンをふっとばして移動を遅くする	メタルスラッグディフェンスから参戦！<br>全てを気化させるほど強力なレーザーを放つ(範囲攻撃)<br>たまにエイリアンをふっとばして移動を遅くする	
224	メタルスラッグディフェンスから参戦！<br>気配りの効くカリスマリーダー。元正規軍総帥<br>エイリアンに打たれ強くたまにふっとばす(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>軍部と政治の腐敗を断罪するため、ロケラン片手に戦う男<br>エイリアンに打たれ強くたまにふっとばす(範囲攻撃)	
225	メタルスラッグディフェンスから参戦！<br>モーデン軍の大型爆撃ヘリ<br>浮いてる敵にめっぽう強くたまにふっとばす(範囲攻撃)	メタルスラッグディフェンスから参戦！<br>戦闘機であるが要人の護送にも使用されている<br>浮いてる敵にめっぽう強くたまにふっとばす(範囲攻撃)	
226	極悪非道な悪魔の魂をパペットに封じ込めた凄腕呪術師<br>エイリアンと浮いてる敵しか攻撃できないが<br>超破壊力を備え、城を破壊するのが得意(範囲攻撃)	魔物を操り罪人の魂を集めて売りさばく地獄の商人<br>エイリアンと天使しか攻撃できないが超破壊力を備え、<br>敵を倒したときにお金を多くもらえる(範囲攻撃)	己の好奇心の赴くまま研究にのめり込む狂科学者<br>つぎはぎの肉体に魂を宿す実験を重ねる(範囲攻撃)<br>エイリアンしか攻撃できないが超破壊力を備える
227	カボチャランタンをかぶったハロウィンにゃんこ<br>火をともしに来た人を驚かせて<br>イタズラするのが生きがい	イタズラばかりしたのでこの世をさまようことに<br>なったおばけにゃんこ、それでも懲りないにくいやつ<br>ごくたまに黒い敵の動きを一瞬止める	
228	ハロウィン限定スタイルの妹型にゃんこ<br>イタズラしたいのに勇気が出ない…<br>憧れの人はもねこ(たまにクリティカル)	魔法が使えないのに魔女にさせられたねねこ<br>少しの勇気という魔法で世界が変わる事を<br>まだ知らない(たまにクリティカル)	
229	ハロウィン限定スタイルの風のチカラを操るハイパー少女<br>遠距離から放たれるスイートキャノンは<br>エイリアンに超ダメージを与える(範囲攻撃)	街中に風のイタズラを仕掛けるハイパーハロウィン少女<br>遠距離から放たれるスイートキャノンは<br>エイリアンに超ダメージを与える(範囲攻撃)	
230	ハロウィン限定スタイルの雷のチカラを操る電脳ギャル<br>遠距離から放たれる強烈なイカヅチは<br>黒い敵に超ダメージを与える(範囲攻撃)	ピュアな男子にいけないイタズラをする電脳ギャル<br>遠距離から放たれる強烈なイカヅチは<br>黒い敵に超ダメージを与える(範囲攻撃)	
231	ゆるドラシルから参戦！<br>ヴァルハラ神殿に出没する謎のおじさん。実は最高神<br>天使にめっぽう強い	ゆるドラシルから参戦！<br>「はたらきたくないでござる」が口癖のだらしない神の長<br>天使にめっぽう強い	
232	ゆるドラシルから参戦！<br>力を求めにゃんこの世界に降り立った戦乙女<br>ごくたまに黒い敵をふっとばす	ゆるドラシルから参戦！<br>幾多の試練を乗り越えた神立ヴァルキリー養成学校の卒業生<br>ごくたまに黒い敵をふっとばす	
233	ゆるドラシルから参戦！<br>にゃんこの世界に降り立った恋する戦乙女<br>浮いてる敵にめっぽう強い	ゆるドラシルから参戦！<br>恋のために任務を放棄した一途な神立養成学校の主席<br>浮いてる敵にめっぽう強い	
234	ゆるドラシルから参戦！<br>雷神の系譜を受け継ぐ純血の神である戦乙女<br>ごくたまに赤い敵の動きを一瞬止める	ゆるドラシルから参戦！<br>力持ちでパンイチの父親に似た脳筋ヴァルキリー<br>ごくたまに赤い敵の動きを一瞬止める	
235	ゆるドラシルから参戦！<br>様々な種族から厚い信頼を得ている豊穣の女神<br>黒い敵と天使の動きをたまに遅くする(範囲攻撃)	ゆるドラシルから参戦！<br>今日もキレながら上司にツッコミを入れる神界の常識人<br>黒い敵と天使の動きをたまに遅くする(範囲攻撃)	
236	ゆるドラシルから参戦！<br>戦場に立ったヴァルハラの神々を統べる主神<br>天使に打たれ強く、超ダメージを与える(範囲攻撃)	ゆるドラシルから参戦！<br>本気を出した最高神。その隻眼に睨まれた者の未来はない<br>天使に打たれ強く、超ダメージを与える(範囲攻撃)	
237	おかめ大学を首席で卒業したエリートにゃんこ<br>利益追求の計算高さと極度のネコ見知りを合わせもつ<br>敵の攻撃力を大幅にダウンさせる	ニャーベル経済学賞を25回受賞した天才博士<br>経験値をより多く得られる方法を発見した第一人者<br>敵の攻撃力を大幅にダウンさせる	優れた頭脳と経験で活躍する経験値界のレジェンド<br>寝てるだけで経験値が溜まる方法を研究中<br>敵の攻撃力を大幅にダウンさせ、烈波を放つ
238	伝説の働きネコ「ネコボン」のいとこ<br>ボンボンのくせに大金を持つと冷や汗が止まらない<br>敵を倒したときにお金を多くもらえる	伝説の働きネコ「ネコボン」のお父さん<br>「ネコボン」の反面教師となった働かないパパなーのだ<br>敵を倒したときにお金を多くもらえる	伝説の働きネコ「ネコボン」のお爺さん<br>掘り当てた猫川埋蔵金で末代まで遊んで暮らすのだ<br>敵を倒したときにお金を多くもらえる
239	立派なスニャイパーになるため、狙撃修業に励む<br>弟子にゃんこ。弾丸が豆なので威力は期待出来ない<br>遠距離からメタルな敵以外をふっとばす	依頼者の約束は必ず守るプロスニャイパー<br>プロ仕様の武器も難なく扱うが弾丸は相変わらず豆<br>遠距離からメタルな敵以外をふっとばす	コツコツとマメに貯めた貯金で新しい装備を新調した<br>後ろに立たれるとキレるプロスニャイパー３１歳(自営業)<br>遠距離からメタルな敵以外をふっとばして遅くする
240	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>1度だけ生き残り、体力減少で攻撃力超上昇(範囲攻撃)	ネコなのか生と死を司る古の神なのか、<br>まったく正体不明の謎のキャラクター<br>1度だけ生き残り、体力減少で攻撃力超上昇(範囲攻撃)
241	クリスマス限定スタイルの天然うっかり少女<br>雪だるまから放たれる超近射ビームは圧倒的<br>エイリアンと天使に打たれ強い(範囲攻撃)	優しくされると誰でも好きになってしまうクリスマス少女<br>急降下する恋愛ハードルはゲレンデマジックのせい！？<br>エイリアンと天使に打たれ強い(範囲攻撃)	
